priority,type,title,number,date,official_url,role
1,law,"О создании многофункционального сервиса обмена информацией",156-ФЗ,2025-06-24,https://publication.pravo.gov.ru/document/0001202506240021,"base law for service"
1,government_decree,"Изменения в ПП РФ №416",40,2026-01-26,https://publication.pravo.gov.ru/document/0001202602060017,"MAX in UO-resident interaction"
1,ministry_order,"Порядок информационного взаимодействия ГИС ЖКХ + сервис",856/пр,2025-12-29,https://publication.pravo.gov.ru/document/0001202602090015,"core interaction model"
1,government_rules,"Правила управления МКД",416,2013-05-15,https://www.consultant.ru/document/cons_doc_LAW_146444/,"UO duties and resident interaction"
1,federal_law,"О ГИС ЖКХ",209-ФЗ,2014-07-21,https://www.consultant.ru/document/cons_doc_LAW_165810/,"official data/system status"
2,government_rules,"Правила предоставления коммунальных услуг",354,2011-05-06,https://www.consultant.ru/document/cons_doc_LAW_114247/,"quality and interruption rules"
2,government_decree,"Изменения по управлению МКД и АДС",331,2018-03-27,https://www.consultant.ru/document/cons_doc_LAW_294631/,"ADS and management process"
1,official_product_docs,"Госуслуги Дом — mini-app в MAX",,2026,https://cdn.dom.gosuslugi.ru/webhelp/new/topics/mobapp/basic_info/miniapp/c_miniapp_info-miniapp.html,"existing official MAX product"
1,official_product_docs,"Госуслуги Дом — возможности mini-app",,2026,https://cdn.dom.gosuslugi.ru/webhelp/new/topics/mobapp/basic_info/miniapp/c_functions_miniapp-miniapp.html,"competitor baseline"
1,official_product_docs,"Госуслуги Дом — заявки",,2026,https://cdn.dom.gosuslugi.ru/webhelp/topics/mobapp/requests/c_requests_info-mobapp.html,"request process baseline"
2,official_data,"ФИАС",,2026,https://www.nalog.gov.ru/opendata/7707329152-fias/,"address IDs"
2,official_statistics,"Росстат — жилищные условия",,2026,https://rosstat.gov.ru/statistics/zhilishhnye_usloviya,"market/context scale"
1,platform_docs,"MAX developer docs",,2026,https://dev.max.ru/docs,"implementation"
